time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VO_uncalibrated], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw 
1520792796744101244,	0.146201,	1.96038,	-0.0127918,	1.00237,	-0.712991,	-3.92853,	-0.028286,	-0.0356883,	0.101413,	0.993802,	0.102825,	1.99802,	0.203789,	0.213708,	-0.0285204,	0.00930283,	-0.12091,	0.677092,	0.719504,	-0.0961293,	0.184607,	1.98633,	-0.0907013,	0.199667,	0.29255,	0.0159008,	-0.0332955,	-0.0380431,	0.0728937,	0.996058
1520792796798597293,	0.159418,	1.99339,	-0.0126324,	1.04802,	-0.0857805,	-4.00781,	-0.00873432,	-0.0326556,	0.0729154,	0.996765,	0.116156,	1.99573,	0.203799,	0.24688,	-0.0425555,	0.000186128,	-0.11715,	0.675245,	0.721695,	-0.0973478,	0.197179,	1.95257,	-0.0883509,	0.232819,	-0.625256,	0.0435251,	-0.0583916,	-0.0313928,	0.0617433,	0.995888
1520792796859398080,	0.180718,	2.0107,	-0.0134722,	1.07602,	0.249547,	-3.62119,	-0.0393867,	-0.0262447,	0.059163,	0.997126,	0.146007,	1.98895,	0.200902,	0.497517,	-0.112883,	-0.0482796,	-0.110351,	0.67106,	0.725944,	-0.102498,	0.210833,	1.97669,	-0.0892707,	0.227558,	0.40211,	-0.0153288,	-0.0335596,	-0.0295263,	0.0788094,	0.995887
1520792796920091016,	0.208002,	2.10938,	-0.0149313,	1.03325,	2.00716,	-3.59723,	-0.0328961,	-0.0167355,	-0.0216974,	0.999083,	0.160063,	1.98626,	0.198171,	0.234257,	-0.044913,	-0.0455264,	-0.111058,	0.670621,	0.725547,	-0.107308,	0.230446,	2.01938,	-0.0922249,	0.326884,	0.711485,	-0.0492381,	-0.0249446,	-0.0258483,	-0.00717332,	0.999329
1520792796978903822,	0.204129,	1.96092,	-0.0179993,	0.759758,	-0.436793,	-3.72707,	-0.036211,	-0.0178209,	0.103209,	0.993841,	0.173893,	1.98386,	0.19537,	0.238451,	-0.0412581,	-0.048289,	-0.111106,	0.670114,	0.725476,	-0.110847,	0.247924,	1.99764,	-0.0924171,	0.301353,	-0.374921,	-0.00331245,	-0.0300272,	-0.0186958,	0.0654614,	0.997228
1520792797049700179,	0.229254,	2.07491,	-0.0223442,	0.790875,	1.30071,	-3.1102,	-0.00363375,	-0.0118758,	-0.00559841,	0.999907,	0.186552,	1.98115,	0.192406,	0.180841,	-0.0388339,	-0.0423398,	-0.111,	0.671064,	0.724386,	-0.112327,	0.257222,	1.99837,	-0.0956962,	0.132827,	0.0104576,	-0.0468448,	-0.0513101,	-0.0143274,	0.068314,	0.996241
1520792797119369085,	0.240365,	1.97772,	-0.026178,	0.779903,	-0.0496995,	-3.16789,	-0.0417063,	-0.0127559,	0.0863813,	0.995307,	0.210524,	1.96947,	0.187296,	0.347419,	-0.169259,	-0.0740566,	-0.107311,	0.667211,	0.728744,	-0.110659,	0.270555,	1.96131,	-0.0985853,	0.19323,	-0.537047,	-0.0418704,	-0.0266187,	-0.0132243,	0.0915833,	0.995354
1520792797181583792,	0.260731,	2.01555,	-0.0301461,	0.809802,	0.743295,	-3.50714,	0.000861674,	-0.0144033,	0.0344242,	0.999303,	0.222033,	1.96074,	0.185287,	0.185631,	-0.140823,	-0.0324087,	-0.105773,	0.662178,	0.73361,	-0.110216,	0.286945,	1.95774,	-0.102195,	0.264365,	-0.0576516,	-0.0582275,	-0.0286909,	-0.0119551,	0.0862339,	0.99579
1520792797253673368,	0.266187,	1.93519,	-0.0327021,	0.613248,	-0.354825,	-3.02763,	-0.014527,	-0.0102568,	0.102736,	0.99455,	0.240715,	1.94393,	0.183029,	0.25948,	-0.233434,	-0.0313577,	-0.104431,	0.654585,	0.741184,	-0.106104,	0.302073,	1.95042,	-0.105082,	0.210102,	-0.101722,	-0.0400944,	-0.0271865,	-0.0107372,	0.0816359,	0.996234
1520792797326380842,	0.279875,	1.93465,	-0.0349454,	0.54388,	-0.128816,	-3.02743,	-0.00589366,	-0.0120062,	0.0952064,	0.995368,	0.248335,	1.9371,	0.182264,	0.105821,	-0.0948302,	-0.0106328,	-0.103652,	0.652452,	0.74327,	-0.105419,	0.315332,	1.93945,	-0.107983,	0.184151,	-0.152307,	-0.0402914,	-0.0184322,	-0.00878113,	0.0791817,	0.996651
