time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VO_uncalibrated], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw 
1520792026942066734,	0.109737,	2.16682,	-0.133531,	0.687283,	-0.314519,	-2.90696,	-0.00190914,	-0.0200779,	-0.0675621,	0.997511,	0.0613908,	2.18571,	0.0741245,	-0.00338196,	-0.0446639,	0.0595538,	-0.00917814,	0.690739,	0.722939,	0.0123835,	0.160239,	2.14979,	-0.219962,	0.0135537,	0.000842983,	0.0291877,	-0.00598186,	-0.0204469,	-0.076153,	0.996869
1520792027003415491,	0.109758,	2.16478,	-0.127237,	0.792902,	-0.343162,	-3.30101,	0.0021419,	-0.0218674,	-0.0683921,	0.997417,	0.060168,	2.18048,	0.0838236,	-0.0200471,	-0.0858148,	0.159002,	-0.00855992,	0.69007,	0.723502,	0.0166114,	0.160772,	2.14663,	-0.215233,	0.00873612,	-0.0517547,	0.0775171,	-0.00241312,	-0.0216964,	-0.0781124,	0.996706
1520792027063271039,	0.109764,	2.164,	-0.120763,	0.840606,	-0.279342,	-3.46756,	-0.00337325,	-0.022908,	-0.0639505,	0.997684,	0.0592165,	2.1783,	0.0895231,	-0.0161259,	-0.0368831,	0.0966012,	-0.00816805,	0.689057,	0.72444,	0.0179364,	0.160567,	2.14421,	-0.209676,	-0.00347495,	-0.0409829,	0.0941952,	0.00159972,	-0.0233422,	-0.0795866,	0.996553
1520792027131133904,	0.108802,	2.16049,	-0.113799,	0.74008,	-0.265852,	-3.03466,	0.00156779,	-0.0241273,	-0.0664741,	0.997495,	0.0577833,	2.1761,	0.0954753,	-0.0213913,	-0.0328544,	0.0888387,	-0.00802141,	0.688764,	0.724659,	0.0202395,	0.160539,	2.14357,	-0.203223,	-0.000409766,	-0.00954562,	0.0963126,	-0.00585223,	-0.0242038,	-0.07717,	0.996707
1520792027191964544,	0.108112,	2.15974,	-0.107263,	0.838809,	-0.272604,	-3.37898,	0.000232551,	-0.0255492,	-0.0652478,	0.997542,	0.0560613,	2.17562,	0.101793,	-0.0287002,	-0.00807227,	0.105291,	-0.00905928,	0.68996,	0.723493,	0.020777,	0.159498,	2.13995,	-0.196179,	-0.017355,	-0.0603145,	0.117387,	0.000641118,	-0.0255755,	-0.0793059,	0.996522
1520792027251193692,	0.10571,	2.15779,	-0.0971534,	0.841507,	-0.302163,	-3.37197,	0.000540368,	-0.0278732,	-0.0633762,	0.9976,	0.0521681,	2.17593,	0.114867,	-0.0659869,	0.00531689,	0.221604,	-0.0127022,	0.69119,	0.722234,	0.0217401,	0.158628,	2.139,	-0.188274,	-0.014747,	-0.0161806,	0.133995,	-0.001269,	-0.0272425,	-0.0788492,	0.996513
1520792027306572353,	0.103852,	2.15618,	-0.0886749,	0.93971,	-0.359024,	-3.70077,	0.00290614,	-0.0302786,	-0.0642496,	0.99747,	0.0503603,	2.176,	0.121578,	-0.0328682,	0.00132736,	0.122018,	-0.014711,	0.691976,	0.721467,	0.02094,	0.156345,	2.13741,	-0.179574,	-0.0415073,	-0.0289001,	0.158168,	-0.00217767,	-0.0291686,	-0.0780608,	0.996519
1520792027365344684,	0.102186,	2.15698,	-0.084227,	0.893543,	-0.327985,	-3.54837,	0.00172125,	-0.0310386,	-0.0668851,	0.997276,	0.0488137,	2.17619,	0.128314,	-0.026665,	0.00320214,	0.116128,	-0.0164815,	0.692249,	0.721178,	0.0205514,	0.154455,	2.13571,	-0.17111,	-0.032588,	-0.0293298,	0.145941,	0.00107367,	-0.0316072,	-0.0787532,	0.996392
1520792027422784948,	0.101327,	2.15546,	-0.074813,	0.921283,	-0.363586,	-3.56363,	0.00695538,	-0.0322168,	-0.0628365,	0.997479,	0.0474003,	2.17603,	0.135613,	-0.0247966,	-0.00269431,	0.128056,	-0.0189248,	0.692667,	0.72074,	0.0196855,	0.15277,	2.1359,	-0.166695,	-0.0295547,	0.00330593,	0.0774458,	0.000547145,	-0.0323739,	-0.0815846,	0.99614
1520792027502032728,	0.100243,	2.15582,	-0.0649663,	0.668901,	-0.25582,	-2.53898,	0.00873998,	-0.0337441,	-0.0608334,	0.997539,	0.0460139,	2.17654,	0.151092,	-0.0175503,	0.00643296,	0.195932,	-0.0226715,	0.69173,	0.721569,	0.0182641,	0.151966,	2.1355,	-0.157378,	-0.0101772,	-0.00502974,	0.117936,	0.00382543,	-0.0334634,	-0.0772007,	0.996447
