time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VO_uncalibrated], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw 
1520792144088942814,	0.0746097,	2.29251,	-0.184552,	0.838129,	-0.521315,	-3.24347,	-0.00990482,	-0.0172021,	-0.0315805,	0.999304,	0.0224308,	2.32659,	0.0136054,	-0.0172621,	0.0373207,	0.00501322,	-0.0212174,	0.719014,	0.694671,	-0.00099081,	0.129506,	2.28001,	-0.273011,	0.00432623,	0.0940535,	-0.00681477,	-0.0443218,	-0.0167585,	-0.0339338,	0.9983
1520792144154494760,	0.0736662,	2.29504,	-0.184027,	0.788238,	-0.485337,	-3.0405,	-0.0116861,	-0.018838,	-0.0315818,	0.999255,	0.0189453,	2.32871,	0.0147543,	-0.0536221,	0.0326782,	0.0176759,	-0.0272891,	0.717478,	0.696042,	-0.00241997,	0.128719,	2.27693,	-0.272037,	-0.0121177,	-0.0473062,	0.0149852,	-0.0271306,	-0.0178036,	-0.0465665,	0.998388
1520792144221220723,	0.0724988,	2.29513,	-0.183229,	0.811416,	-0.508787,	-2.99974,	-0.00725296,	-0.0211638,	-0.0306001,	0.999281,	0.0168188,	2.32811,	0.0149344,	-0.0322195,	-0.00913127,	0.00272787,	-0.0300323,	0.716672,	0.696757,	-0.00296888,	0.127937,	2.2799,	-0.271728,	-0.0118382,	0.0449725,	0.00467455,	-0.03331,	-0.0192364,	-0.0450587,	0.998244
1520792144276299972,	0.0707799,	2.2972,	-0.182894,	0.98111,	-0.561879,	-3.59689,	-0.00856084,	-0.0228379,	-0.031608,	0.999203,	0.0154329,	2.32697,	0.015186,	-0.0251982,	-0.0206109,	0.00457415,	-0.030203,	0.714909,	0.698562,	-0.00197291,	0.126791,	2.28011,	-0.270958,	-0.0208492,	0.00391433,	0.0140018,	-0.0278877,	-0.0215876,	-0.04338,	0.998436
1520792144326326898,	0.0692842,	2.29905,	-0.183208,	1.07702,	-0.558419,	-3.96789,	-0.0167945,	-0.0227128,	-0.0273208,	0.999228,	0.0142201,	2.32547,	0.0152808,	-0.0242573,	-0.0301618,	0.00189777,	-0.0293047,	0.714444,	0.699078,	-0.00102404,	0.125125,	2.28218,	-0.270707,	-0.0333042,	0.0413052,	0.00503008,	-0.0292346,	-0.0232457,	-0.0441747,	0.998325
1520792144382308572,	0.068463,	2.29834,	-0.182987,	0.986235,	-0.493279,	-3.60487,	-0.00927832,	-0.0228594,	-0.031944,	0.999185,	0.0132948,	2.32537,	0.0154082,	-0.0168225,	-0.00176929,	0.002315,	-0.0286839,	0.715162,	0.69837,	0.000110187,	0.123618,	2.28377,	-0.271104,	-0.0274017,	0.0288299,	-0.00722322,	-0.0335804,	-0.023088,	-0.040175,	0.998361
1520792144436198364,	0.0674615,	2.29839,	-0.182777,	1.02201,	-0.508941,	-3.73935,	-0.00838498,	-0.0227764,	-0.0297979,	0.999261,	0.0126972,	2.32504,	0.0156933,	-0.0112766,	-0.00625829,	0.00537898,	-0.027937,	0.715691,	0.697858,	0.000754129,	0.12276,	2.28329,	-0.270827,	-0.0162031,	-0.00900073,	0.00522224,	-0.028841,	-0.0233092,	-0.0449325,	0.998302
1520792144502901308,	0.0668978,	2.30113,	-0.18249,	0.821222,	-0.362192,	-3.00277,	-0.00913854,	-0.022426,	-0.0305602,	0.99924,	0.0125331,	2.32671,	0.0163355,	-0.00248579,	0.025381,	0.00973042,	-0.0284201,	0.716657,	0.696845,	-0.00157419,	0.121683,	2.28369,	-0.270641,	-0.0163141,	0.00613939,	0.00282889,	-0.0287546,	-0.0231422,	-0.0415834,	0.998453
1520792144579018169,	0.0661374,	2.30104,	-0.181501,	0.70532,	-0.337729,	-2.60311,	-0.00797264,	-0.0216793,	-0.0303527,	0.999272,	0.012191,	2.32802,	0.0164694,	-0.00450213,	0.0172335,	0.0017629,	-0.0298758,	0.716643,	0.696797,	-0.00213367,	0.121356,	2.28639,	-0.270494,	-0.00430103,	0.0354701,	0.00193242,	-0.029593,	-0.0228344,	-0.0430533,	0.998373
1520792144631424435,	0.0664386,	2.30718,	-0.181486,	1.04322,	-0.400705,	-3.80684,	-0.0219303,	-0.0220062,	-0.0265678,	0.999164,	0.0117929,	2.32877,	0.0162285,	-0.00765537,	0.0144732,	-0.00463405,	-0.0315949,	0.716663,	0.696697,	-0.00301055,	0.120605,	2.28639,	-0.269515,	-0.0144434,	5.82958e-05,	0.0188148,	-0.0283213,	-0.0220793,	-0.0424838,	0.998452
