time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VO_uncalibrated], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw 
1520792086459651107,	0.1171,	2.26618,	-0.178032,	0.647886,	-0.422589,	-2.40495,	-0.0142043,	-0.0299893,	-0.062935,	0.997466,	0.0543698,	2.28412,	0.0250231,	-0.107903,	-0.20643,	0.0415053,	-0.0255295,	0.702036,	0.71164,	0.00794962,	0.176543,	2.2575,	-0.266545,	-0.0807415,	-0.103295,	0.0475633,	-0.0259037,	-0.0295546,	-0.0612554,	0.997348
1520792086525115590,	0.111868,	2.25706,	-0.174926,	0.88459,	-0.416351,	-3.07614,	-0.0184983,	-0.0318841,	-0.0565094,	0.997721,	0.0499803,	2.2746,	0.0259294,	-0.0675303,	-0.146568,	0.013943,	-0.0256572,	0.702155,	0.711513,	0.00839513,	0.170755,	2.24993,	-0.264584,	-0.0890439,	-0.116472,	0.0301638,	-0.0177297,	-0.0308838,	-0.0656397,	0.997208
1520792086606396316,	0.105823,	2.24635,	-0.173766,	0.689413,	-0.348688,	-2.46538,	-0.0193909,	-0.0319075,	-0.0551956,	0.997777,	0.0429931,	2.25407,	0.0268149,	-0.086262,	-0.253397,	0.0109323,	-0.0237026,	0.701276,	0.712444,	0.00856297,	0.165248,	2.24054,	-0.261099,	-0.0679925,	-0.115957,	0.0430235,	-0.0232663,	-0.032689,	-0.0618887,	0.997276
1520792086687351538,	0.100181,	2.24152,	-0.173887,	0.71485,	-0.156895,	-2.50877,	-0.0305943,	-0.0300652,	-0.0494959,	0.997853,	0.0402635,	2.24321,	0.0270427,	-0.0341203,	-0.135772,	0.00284725,	-0.0233058,	0.700165,	0.71356,	0.00759791,	0.158916,	2.22968,	-0.259504,	-0.0791481,	-0.135798,	0.019944,	-0.0252701,	-0.0326886,	-0.0619663,	0.997223
1520792086756381000,	0.0929345,	2.21576,	-0.173569,	0.763348,	-0.397862,	-2.90742,	-0.0114166,	-0.0280366,	-0.0472448,	0.998425,	0.0354935,	2.22462,	0.0269454,	-0.0691304,	-0.269411,	-0.00140904,	-0.0237749,	0.701927,	0.711847,	0.00252506,	0.153135,	2.22464,	-0.25941,	-0.0837785,	-0.0729859,	0.0013551,	-0.0374073,	-0.0305684,	-0.0570962,	0.997199
1520792086825707320,	0.0887327,	2.20321,	-0.174008,	0.771583,	-0.310245,	-2.91237,	-0.00835679,	-0.0255111,	-0.0463858,	0.998563,	0.0349456,	2.21569,	0.0266728,	-0.00793988,	-0.129469,	-0.0039515,	-0.0221714,	0.702598,	0.711242,	6.7816e-06,	0.145009,	2.19686,	-0.257806,	-0.117774,	-0.402564,	0.0232443,	-0.0258626,	-0.0288484,	-0.0636351,	0.997221
1520792086894866447,	0.0863377,	2.19274,	-0.174279,	0.744812,	-0.332558,	-2.91234,	-0.00872829,	-0.022038,	-0.0440469,	0.998748,	0.0345655,	2.20834,	0.0263649,	-0.0055096,	-0.106426,	-0.00446273,	-0.0210979,	0.704945,	0.708937,	-0.00411106,	0.14055,	2.18475,	-0.257799,	-0.0646288,	-0.175562,	0.000100942,	-0.0227741,	-0.0263218,	-0.0619891,	0.99747
1520792086960283495,	0.0833019,	2.17997,	-0.175001,	0.749792,	-0.4365,	-3.09793,	-0.00905286,	-0.0168048,	-0.0423093,	0.998922,	0.0345908,	2.19634,	0.0265995,	0.000389368,	-0.184625,	0.00361022,	-0.0164458,	0.710605,	0.703342,	-0.00898202,	0.137505,	2.17316,	-0.257696,	-0.0468378,	-0.178333,	0.00159025,	-0.0246541,	-0.022157,	-0.0588188,	0.997718
1520792087017725794,	0.0812014,	2.1696,	-0.173825,	0.817731,	-0.469186,	-3.51622,	-0.00814945,	-0.012588,	-0.0414513,	0.999028,	0.0346983,	2.18992,	0.0274668,	0.00188596,	-0.112747,	0.0152145,	-0.0149539,	0.711753,	0.702206,	-0.0095014,	0.134639,	2.16258,	-0.257978,	-0.0502876,	-0.185582,	-0.00493785,	-0.025917,	-0.017463,	-0.0573438,	0.997865
1520792087077843056,	0.0800789,	2.16006,	-0.172642,	0.756343,	-0.497615,	-3.33515,	-0.00890055,	-0.0106832,	-0.0392072,	0.999134,	0.0351986,	2.18186,	0.02865,	0.00833802,	-0.134279,	0.0197208,	-0.0136573,	0.710749,	0.703263,	-0.00836377,	0.132313,	2.15252,	-0.256432,	-0.0387584,	-0.167724,	0.0257608,	-0.0253485,	-0.013231,	-0.0562907,	0.998005
