time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VO_uncalibrated], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw 
1520792209276746139,	0.0905582,	2.33343,	-0.256429,	0.731887,	-0.298282,	-3.17252,	-0.0215336,	-0.00230932,	-0.0676756,	0.997472,	0.0443063,	2.3519,	-0.0557148,	-0.00227131,	-0.00505423,	0.0134163,	-0.00347731,	0.688308,	0.7254,	-0.00372773,	0.14611,	2.30823,	-0.344913,	-0.0112314,	-0.0034852,	0.0209528,	-0.0186934,	-0.00440363,	-0.0826693,	0.996392
1520792209330318051,	0.0901673,	2.33443,	-0.255898,	0.865303,	-0.329704,	-3.77703,	-0.0202847,	-0.0010398,	-0.064018,	0.997742,	0.0441055,	2.35271,	-0.0555908,	-0.00378773,	0.015214,	0.00233942,	-0.00462394,	0.68795,	0.725716,	-0.00629879,	0.145114,	2.30922,	-0.344313,	-0.0187901,	0.0186573,	0.0113295,	-0.0198425,	-0.00396354,	-0.0804582,	0.996553
1520792209392432972,	0.0897284,	2.33386,	-0.25558,	0.735852,	-0.304047,	-3.22563,	-0.0179965,	-0.000791326,	-0.0656677,	0.997679,	0.0438093,	2.35264,	-0.0553635,	-0.0047774,	-0.00108459,	0.00366682,	-0.00567602,	0.68725,	0.726362,	-0.00724516,	0.144763,	2.31086,	-0.343879,	-0.00566172,	0.026488,	0.00700366,	-0.0195435,	-0.00257858,	-0.0769484,	0.99684
1520792209459378189,	0.0891458,	2.32663,	-0.254543,	0.686916,	-0.394129,	-3.01787,	-0.00118633,	-0.00165784,	-0.0689345,	0.997619,	0.0430031,	2.35302,	-0.0553047,	-0.0122163,	0.00576664,	0.000890281,	-0.00963309,	0.686441,	0.727057,	-0.00972244,	0.144262,	2.31014,	-0.343499,	-0.00759342,	-0.0109946,	0.00574844,	-0.016592,	-0.0022741,	-0.0772477,	0.996871
1520792209520303387,	0.0894816,	2.33663,	-0.254941,	0.774642,	-0.273089,	-3.32727,	-0.0170769,	-0.00213207,	-0.0614058,	0.997965,	0.0421174,	2.35307,	-0.0548428,	-0.01476,	0.000832382,	0.00769799,	-0.00927668,	0.686539,	0.726983,	-0.0086662,	0.144201,	2.3114,	-0.343372,	-0.00101051,	0.0211037,	0.0021292,	-0.0142736,	-0.00275384,	-0.0746358,	0.997105
1520792209573155945,	0.0887314,	2.33599,	-0.254566,	0.896423,	-0.328396,	-3.84083,	-0.0164379,	-0.00258655,	-0.061567,	0.997964,	0.0405462,	2.35133,	-0.0542331,	-0.0302157,	-0.033436,	0.0117264,	-0.0090231,	0.68733,	0.726235,	-0.00891443,	0.144205,	2.31353,	-0.34311,	7.36751e-05,	0.040811,	0.00502607,	-0.0166901,	-0.00359626,	-0.0730097,	0.997185
1520792209626536762,	0.0875425,	2.33528,	-0.254434,	0.886723,	-0.302818,	-3.77737,	-0.016533,	-0.00241068,	-0.0619607,	0.997939,	0.0384689,	2.35153,	-0.0543645,	-0.0391959,	0.00368455,	-0.00248007,	-0.0111342,	0.687518,	0.725985,	-0.0118333,	0.143419,	2.3126,	-0.342672,	-0.0148312,	-0.0173833,	0.00827087,	-0.0159825,	-0.00409065,	-0.0736183,	0.99715
1520792209695332074,	0.0851596,	2.33535,	-0.254491,	0.686628,	-0.237944,	-2.94303,	-0.0155408,	-0.00229352,	-0.0556786,	0.998325,	0.0356501,	2.35013,	-0.0547283,	-0.0414527,	-0.0204661,	-0.00534988,	-0.0144613,	0.687841,	0.725573,	-0.014481,	0.142177,	2.3113,	-0.342435,	-0.0182619,	-0.0191979,	0.00348096,	-0.01482,	-0.00396941,	-0.0743169,	0.997117
1520792209749373423,	0.0830051,	2.33555,	-0.254774,	0.876945,	-0.270041,	-3.70454,	-0.0161784,	-0.00274217,	-0.0511541,	0.998556,	0.0327762,	2.35198,	-0.0551953,	-0.0532206,	0.034183,	-0.00864868,	-0.0198055,	0.689227,	0.724002,	-0.0198841,	0.139504,	2.31202,	-0.342576,	-0.0495067,	0.0133648,	-0.00261253,	-0.0170038,	-0.00363426,	-0.0679968,	0.997534
1520792209805861205,	0.0787523,	2.33619,	-0.255447,	0.821002,	-0.281931,	-3.57592,	-0.015581,	-0.00388468,	-0.0467152,	0.998779,	0.0266465,	2.35302,	-0.0546221,	-0.109459,	0.0184897,	0.0102354,	-0.0326823,	0.688042,	0.724352,	-0.0290636,	0.136753,	2.31238,	-0.342999,	-0.049133,	0.00636454,	-0.00754999,	-0.0200274,	-0.00424355,	-0.0640994,	0.997734
