time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VO_uncalibrated], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw 
1520793641983621708,	-0.794863,	2.02807,	-0.00799575,	0.0813904,	-0.518417,	-1.66997,	-0.0506432,	0.000117455,	-0.0186587,	0.998542,	-0.806276,	2.09092,	0.193302,	-0.0129262,	0.000987592,	-0.00635246,	-0.0443996,	0.69568,	0.716304,	-0.0310912,	-0.727552,	1.96667,	-0.07709,	0.0999809,	0.00519948,	-0.0565474,	-0.0487386,	0.00603607,	-0.0498229,	0.99755
1520793642114263705,	-0.789275,	2.03748,	-0.0104999,	0.130778,	-0.411067,	-1.56771,	-0.0321574,	-0.0133951,	-0.010509,	0.999338,	-0.800805,	2.1009,	0.196808,	0.0420851,	0.0768333,	0.02697,	-0.0394218,	0.697369,	0.714695,	-0.0364993,	-0.721634,	1.97012,	-0.0834583,	0.0455228,	0.0264902,	-0.0489872,	-0.0545799,	0.000231535,	-0.0480441,	0.997353
1520793642220490055,	-0.787735,	2.04446,	-0.00717774,	0.1233,	-0.532467,	-1.9244,	-0.0366635,	-0.00587981,	-0.0123447,	0.999234,	-0.793056,	2.10676,	0.197736,	0.0730993,	0.0552783,	0.00874716,	-0.0240738,	0.701403,	0.711099,	-0.0423301,	-0.715916,	1.97881,	-0.0862542,	0.0539418,	0.0820182,	-0.0263765,	-0.0325719,	-0.0135108,	-0.039533,	0.998596
1520793642334969126,	-0.786773,	2.04784,	-0.00513022,	0.0551135,	-0.516846,	-1.77952,	-0.0391815,	0.0091895,	-0.0186513,	0.999016,	-0.787462,	2.10443,	0.197522,	0.0490709,	-0.0204505,	-0.00187175,	-0.019777,	0.695975,	0.716375,	-0.0451066,	-0.714235,	1.98543,	-0.0832911,	0.0147491,	0.0580235,	0.0259918,	-0.0379067,	-0.00593793,	-0.0414915,	0.998402
1520793642455641884,	-0.782548,	2.04968,	-0.00620078,	0.0409523,	-0.456247,	-1.69769,	-0.0342358,	0.014854,	-0.0180042,	0.999141,	-0.775729,	2.1016,	0.195793,	0.0977737,	-0.0235995,	-0.0144084,	-0.0210866,	0.695414,	0.716819,	-0.0460963,	-0.713214,	1.9886,	-0.0814278,	0.00851041,	0.0264797,	0.0155274,	-0.04072,	0.00896522,	-0.0479781,	0.997978
1520793642577187105,	-0.773891,	2.04381,	-0.00760941,	0.0151889,	-0.477628,	-1.68101,	-0.0343129,	0.0149694,	-0.0175394,	0.999145,	-0.745431,	2.09651,	0.196914,	0.250396,	-0.042072,	0.00926135,	-0.020624,	0.692337,	0.719597,	-0.0492474,	-0.70903,	1.99013,	-0.0825285,	0.0345717,	0.0125749,	-0.00909639,	-0.034597,	0.0144482,	-0.0473557,	0.998174
1520793642698071889,	-0.739332,	2.04459,	-0.00732232,	0.0508255,	-0.432652,	-1.70197,	-0.0262523,	0.0181975,	-0.0446366,	0.998492,	-0.664901,	2.09678,	0.203716,	0.67109,	0.00227631,	0.0566887,	-0.0210944,	0.692809,	0.718562,	-0.0569124,	-0.700699,	1.98401,	-0.0836601,	0.0694281,	-0.0509895,	-0.00943024,	-0.0343094,	0.0145456,	-0.0468445,	0.998207
1520793642812026484,	-0.649068,	2.01904,	0.00134133,	0.140114,	-0.688016,	-1.79093,	-0.0358032,	0.0230273,	-0.00765347,	0.999064,	-0.533227,	2.10414,	0.218981,	1.16525,	0.0651384,	0.135081,	-0.030214,	0.70065,	0.709917,	-0.0647672,	-0.666888,	1.98275,	-0.0833653,	0.299212,	-0.0110845,	0.00260959,	-0.0252548,	0.0168389,	-0.0742125,	0.99678
1520793642941126779,	-0.472295,	2.07093,	0.0182918,	0.47234,	-0.257497,	-1.55573,	-0.0373316,	0.0155135,	0.00267556,	0.999179,	-0.328221,	2.09408,	0.253377,	1.5892,	-0.0779712,	0.266639,	-0.0758301,	0.681715,	0.724607,	-0.0667729,	-0.575023,	1.95166,	-0.0735039,	0.712136,	-0.241074,	0.0764446,	-0.035541,	0.0232089,	-0.0321235,	0.998582
1520793643058184361,	-0.281851,	2.05912,	0.0456885,	0.396324,	-0.298829,	-1.77511,	-0.014263,	-0.0126283,	0.036708,	0.999144,	-0.158179,	2.07785,	0.272094,	1.45335,	-0.138773,	0.159976,	-0.0980517,	0.646995,	0.751814,	-0.0809858,	-0.405977,	1.99217,	-0.0593672,	1.44483,	0.346263,	0.120826,	-0.0426628,	0.0163495,	-0.0172046,	0.998808
