time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VO_uncalibrated], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw 
1520793640374706771,	-0.768034,	2.02214,	0.00542904,	-0.62451,	-4.43959,	-14.9165,	-0.0305398,	0.0404561,	-0.0110742,	0.998653,	-0.759915,	2.07986,	0.199343,	0,	0,	0,	-0.00627459,	0.699252,	0.711264,	-0.0714959,	-0.69502,	1.96248,	-0.069182,	-0.00680325,	0.00688888,	-0.00639769,	-0.0293705,	0.0385942,	-0.0412477,	0.997971
1520793640390855387,	-0.768034,	2.02214,	0.00542904,	-0.507414,	-3.60717,	-12.1196,	-0.0305398,	0.0404561,	-0.0110742,	0.998653,	-0.759915,	2.07986,	0.199343,	0,	0,	0,	-0.00627459,	0.699252,	0.711264,	-0.0714959,	-0.69502,	1.96248,	-0.069182,	0,	0,	0,	-0.0293705,	0.0385942,	-0.0412477,	0.997971
1520793640401457309,	-0.767789,	2.02206,	0.00566268,	-0.787379,	-5.78001,	-19.3681,	-0.030805,	0.0406974,	-0.00908094,	0.998655,	-0.75967,	2.08001,	0.199666,	0.0244809,	0.0157606,	0.0322744,	-0.00731399,	0.69941,	0.710997,	-0.0724964,	-0.695195,	1.96286,	-0.0699027,	-0.0175169,	0.0371667,	-0.0720704,	-0.030253,	0.0410725,	-0.0397066,	0.997908
1520793640411226946,	-0.767753,	2.02215,	0.00571537,	-0.898077,	-6.4291,	-21.5501,	-0.0309003,	0.040665,	-0.00908349,	0.998654,	-0.75967,	2.08001,	0.199666,	0,	0,	0,	-0.00731399,	0.69941,	0.710997,	-0.0724964,	-0.695265,	1.9627,	-0.069383,	-0.00773511,	-0.0178382,	0.0577474,	-0.0307858,	0.0402741,	-0.0390922,	0.997949
1520793640426603720,	-0.767753,	2.02215,	0.00571537,	-0.538846,	-3.85746,	-12.9301,	-0.0309003,	0.040665,	-0.00908349,	0.998654,	-0.75967,	2.08001,	0.199666,	0,	0,	0,	-0.00731399,	0.69941,	0.710997,	-0.0724964,	-0.695265,	1.9627,	-0.069383,	0,	0,	0,	-0.0307858,	0.0402741,	-0.0390922,	0.997949
1520793640439473029,	-0.767753,	2.02215,	0.00571537,	-0.673557,	-4.82182,	-16.1626,	-0.0309003,	0.040665,	-0.00908349,	0.998654,	-0.75967,	2.08001,	0.199666,	0,	0,	0,	-0.00731399,	0.69941,	0.710997,	-0.0724964,	-0.695265,	1.9627,	-0.069383,	0,	0,	0,	-0.0307858,	0.0402741,	-0.0390922,	0.997949
1520793640452120165,	-0.767425,	2.02225,	0.00628503,	-0.646214,	-4.81358,	-16.1151,	-0.0298385,	0.0403401,	-0.00775591,	0.99871,	-0.759885,	2.07961,	0.200777,	-0.0179316,	-0.0334394,	0.0925287,	-0.00843133,	0.698527,	0.711848,	-0.0725379,	-0.694905,	1.96286,	-0.0687692,	0.0300199,	0.0134749,	0.0511515,	-0.0299358,	0.0399031,	-0.0378409,	0.998038
1520793640464628883,	-0.767355,	2.02207,	0.00632947,	-0.622437,	-4.79536,	-16.2039,	-0.0298413,	0.0402714,	-0.0077177,	0.998713,	-0.759885,	2.07961,	0.200777,	0,	0,	0,	-0.00843133,	0.698527,	0.711848,	-0.0725379,	-0.694905,	1.96286,	-0.0687692,	0,	0,	0,	-0.0299358,	0.0399031,	-0.0378409,	0.998038
1520793640479315394,	-0.767355,	2.02207,	0.00632947,	-0.533518,	-4.11031,	-13.8891,	-0.0298413,	0.0402714,	-0.0077177,	0.998713,	-0.759885,	2.07961,	0.200777,	0,	0,	0,	-0.00843133,	0.698527,	0.711848,	-0.0725379,	-0.694905,	1.96286,	-0.0687692,	0,	0,	0,	-0.0299358,	0.0399031,	-0.0378409,	0.998038
1520793640492228648,	-0.767355,	2.02207,	0.00632947,	-0.622437,	-4.79536,	-16.2039,	-0.0298413,	0.0402714,	-0.0077177,	0.998713,	-0.759885,	2.07961,	0.200777,	0,	0,	0,	-0.00843133,	0.698527,	0.711848,	-0.0725379,	-0.694905,	1.96286,	-0.0687692,	0,	0,	0,	-0.0299358,	0.0399031,	-0.0378409,	0.998038
