time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VO_uncalibrated], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw 
1520793345597167014,	-0.867563,	2.17857,	-0.0583983,	0.19555,	-0.429693,	-1.75575,	-0.00699899,	-0.0137358,	0.0298781,	0.999435,	-0.887214,	2.22031,	0.144485,	0.0275943,	-0.0729746,	-0.0217022,	-0.0642135,	0.674135,	0.734086,	-0.0503621,	-0.791037,	2.13062,	-0.135255,	0.00563224,	-0.123062,	0.00453779,	-0.00672219,	-0.0147653,	0.0150908,	0.999755
1520793345715279357,	-0.866204,	2.17188,	-0.0603126,	0.178049,	-0.410414,	-1.73557,	-0.00833429,	-0.00840502,	0.021476,	0.999699,	-0.880214,	2.21539,	0.138142,	0.0593169,	-0.0416793,	-0.0537534,	-0.0507163,	0.676733,	0.732839,	-0.0490603,	-0.788957,	2.11795,	-0.137817,	0.0176262,	-0.107325,	-0.0217149,	0.00183643,	-0.0136457,	0.00231915,	0.999903
1520793345829062649,	-0.863997,	2.1661,	-0.0668892,	0.143511,	-0.436192,	-1.81444,	-0.00736397,	-0.00112092,	0.0122825,	0.999897,	-0.875984,	2.20727,	0.13176,	0.0374318,	-0.0718125,	-0.0564737,	-0.046323,	0.670701,	0.738767,	-0.0473009,	-0.787856,	2.11126,	-0.139426,	0.00974409,	-0.0592044,	-0.0142412,	-0.000512566,	-0.0085538,	-0.00598494,	0.999945
1520793345950799943,	-0.86069,	2.16247,	-0.0737874,	0.126403,	-0.370269,	-1.69874,	0.00114862,	-0.000268689,	0.00903893,	0.999958,	-0.871345,	2.20247,	0.126483,	0.0383397,	-0.039709,	-0.0436179,	-0.0426142,	0.666236,	0.743042,	-0.0469366,	-0.785838,	2.10569,	-0.14554,	0.0166783,	-0.0460388,	-0.0505292,	0.00181991,	-0.00176682,	-0.0163651,	0.999863
1520793346069251641,	-0.857241,	2.1586,	-0.0806634,	0.119527,	-0.371762,	-1.75548,	0.00783479,	0.00393622,	0.0059198,	0.999944,	-0.868563,	2.19781,	0.118401,	0.0235765,	-0.0394758,	-0.0684854,	-0.038925,	0.663221,	0.745698,	-0.0505724,	-0.782696,	2.10218,	-0.152122,	0.0266277,	-0.0297891,	-0.0557801,	0.0104456,	-0.00122566,	-0.0193291,	0.999758
1520793346176398612,	-0.857384,	2.15643,	-0.0872538,	0.10448,	-0.386771,	-1.92201,	0.00966552,	0.00747433,	0.00580908,	0.999908,	-0.867742,	2.19193,	0.110005,	0.00767981,	-0.0549811,	-0.0784701,	-0.0361803,	0.658307,	0.750111,	-0.0515441,	-0.779414,	2.09823,	-0.158654,	0.0306735,	-0.0368809,	-0.061042,	0.0179379,	0.00266886,	-0.0223778,	0.999585
1520793346282411991,	-0.858086,	2.15266,	-0.0961186,	0.0910898,	-0.370446,	-1.94456,	0.018657,	0.0105453,	0.00452454,	0.99976,	-0.867598,	2.18323,	0.0978918,	0.00135861,	-0.0820809,	-0.114277,	-0.0339084,	0.652395,	0.755322,	-0.0521517,	-0.779614,	2.09614,	-0.16496,	-0.00188337,	-0.0197424,	-0.0594922,	0.0201356,	0.00609783,	-0.0224187,	0.999527
1520793346395396215,	-0.85887,	2.14705,	-0.110254,	0.0779268,	-0.323058,	-1.85844,	0.0266917,	0.0133092,	0.00389893,	0.999548,	-0.865501,	2.17068,	0.0959811,	0.018715,	-0.112064,	-0.0170599,	-0.0318554,	0.646313,	0.760401,	-0.0552836,	-0.780401,	2.09253,	-0.173417,	-0.00702892,	-0.0322348,	-0.075507,	0.0298625,	0.00888038,	-0.0233981,	0.999241
1520793346509167889,	-0.858816,	2.13639,	-0.104283,	0.0591619,	-0.303445,	-1.77225,	0.0258935,	0.0181502,	0.00694407,	0.999476,	-0.858767,	2.16608,	0.221498,	0.059599,	-0.0407038,	1.11077,	-0.0270696,	0.673641,	0.735963,	-0.0619088,	-0.781319,	2.08715,	-0.186908,	-0.00812061,	-0.0475347,	-0.119395,	0.0384882,	0.0113516,	-0.0237533,	0.998912
1520793346613197594,	-0.85459,	2.1196,	-0.00310353,	0.0401584,	-0.446924,	-2.15963,	-0.00601605,	0.0226053,	0.00797173,	0.999695,	-0.85623,	2.17294,	0.422098,	0.0243921,	0.065973,	1.92884,	-0.037417,	0.712314,	0.697742,	-0.0660651,	-0.781543,	2.07699,	-0.180798,	-0.00215377,	-0.0977263,	0.0587581,	0.0373293,	0.0163514,	-0.0205795,	0.998957
1520793346724500747,	-0.848759,	2.10586,	0.191724,	0.0673052,	-0.604327,	-2.07544,	-0.0557107,	0.017474,	0.0191621,	0.99811,	-0.850323,	2.14623,	0.661795,	0.0532135,	-0.240658,	2.15943,	-0.0458019,	0.712327,	0.697079,	-0.0676271,	-0.777822,	2.06108,	-0.0822126,	0.0335188,	-0.14335,	0.888153,	-0.000281487,	0.0222681,	-0.0207419,	0.999537
1520793346841751284,	-0.839638,	2.08313,	0.474224,	0.0913244,	-0.539232,	-1.60317,	-0.045483,	0.0126668,	0.0269766,	0.99852,	-0.848163,	2.12451,	0.855008,	0.0184616,	-0.185587,	1.6514,	-0.0552562,	0.677072,	0.731222,	-0.0619195,	-0.77245,	2.04778,	0.106019,	0.045917,	-0.11371,	1.60882,	-0.0729955,	0.0202253,	-0.00707022,	0.997102
1520793346964213020,	-0.836855,	2.09797,	0.684693,	0.0926886,	-0.217526,	-1.39602,	-0.00837334,	0.00292271,	0.0332304,	0.999408,	-0.865302,	2.18445,	0.951901,	-0.140479,	0.491294,	0.794206,	-0.0655801,	0.6948,	0.713621,	-0.0608022,	-0.764328,	2.02601,	0.376347,	0.0665698,	-0.178406,	2.2158,	-0.0759294,	0.0172936,	0.00383628,	0.996956
1520793347090914947,	-0.84469,	2.13564,	0.756635,	0.163584,	-0.387364,	-1.54973,	-0.0207246,	-0.00293737,	0.0333525,	0.999224,	-0.870265,	2.20282,	0.960237,	-0.0393931,	0.14582,	0.0661565,	-0.0510295,	0.697898,	0.712488,	-0.0519179,	-0.761558,	2.03938,	0.57464,	0.0219824,	0.106093,	1.57376,	-0.0443998,	0.00808859,	0.011907,	0.99891
1520793347202289026,	-0.856601,	2.15536,	0.768654,	0.123102,	-0.42755,	-1.72597,	-0.0254018,	0.00274522,	0.0161565,	0.999543,	-0.873803,	2.19602,	0.956695,	-0.031876,	-0.0612958,	-0.0319114,	-0.0431123,	0.692345,	0.718707,	-0.0475393,	-0.768368,	2.07595,	0.640969,	-0.0613505,	0.329503,	0.597552,	-0.0597373,	0.00272494,	0.0128931,	0.998127
1520793347321038852,	-0.860245,	2.15443,	0.765243,	0.114904,	-0.352474,	-1.62247,	-0.0114641,	0.00537972,	0.0109134,	0.99986,	-0.877177,	2.19516,	0.952197,	-0.02859,	-0.00729847,	-0.0381139,	-0.0516484,	0.695635,	0.714972,	-0.047324,	-0.779554,	2.09537,	0.65169,	-0.0947913,	0.164588,	0.0908547,	-0.063992,	0.00849108,	-0.00498452,	0.997902
1520793347432860093,	-0.859943,	2.15052,	0.760611,	0.155264,	-0.402108,	-1.726,	-0.0205416,	-0.00182674,	0.0165482,	0.99965,	-0.88109,	2.19364,	0.946643,	-0.035249,	-0.0136513,	-0.0500344,	-0.0554485,	0.700843,	0.709657,	-0.0461736,	-0.783098,	2.09457,	0.648487,	-0.0319308,	-0.00723586,	-0.0288482,	-0.049729,	0.010513,	-0.010022,	0.998657
1520793347555822791,	-0.862753,	2.14472,	0.754098,	0.150299,	-0.400977,	-1.57824,	-0.0271951,	-0.0055318,	0.0185189,	0.999443,	-0.883195,	2.18862,	0.934633,	-0.0172566,	-0.0412026,	-0.0984471,	-0.0543059,	0.701088,	0.709556,	-0.0453475,	-0.782938,	2.09094,	0.644383,	0.0013115,	-0.029722,	-0.0336386,	-0.0588875,	0.00380045,	-0.00448685,	0.998247
1520793347653077652,	-0.863837,	2.14133,	0.745012,	0.199565,	-0.487459,	-1.95485,	-0.0279846,	-0.00531134,	0.017251,	0.999445,	-0.885472,	2.19793,	0.903351,	-0.0234735,	0.096024,	-0.322497,	-0.0533449,	0.711858,	0.699108,	-0.040759,	-0.785829,	2.08557,	0.638539,	-0.0298029,	-0.0554332,	-0.0602496,	-0.065462,	0.000198874,	-0.00230785,	0.997852
1520793347759409630,	-0.865828,	2.14148,	0.719804,	0.185318,	-0.53254,	-1.73157,	-0.0476892,	-0.00792624,	0.0152244,	0.998715,	-0.889954,	2.22497,	0.810274,	-0.0422868,	0.255088,	-0.878078,	-0.0554513,	0.741386,	0.667861,	-0.0351146,	-0.786965,	2.08235,	0.630146,	-0.0107206,	-0.0303339,	-0.0791796,	-0.065968,	0.000369983,	-0.00363064,	0.997815
1520793347872466686,	-0.866789,	2.14821,	0.637958,	0.205003,	-0.679315,	-1.52492,	-0.0840872,	-0.0144435,	0.0112825,	0.99629,	-0.897532,	2.24126,	0.633725,	-0.0670578,	0.144207,	-1.56238,	-0.0757226,	0.763326,	0.639501,	-0.0513615,	-0.78899,	2.08222,	0.606195,	-0.0179153,	-0.00120298,	-0.211958,	-0.0842763,	-0.00166954,	-0.00613142,	0.996422
1520793347972500489,	-0.868799,	2.1429,	0.43654,	0.287327,	-0.983657,	-1.97185,	-0.124017,	-0.0251393,	0.0348236,	0.99135,	-0.896692,	2.22267,	0.385099,	0.00839696,	-0.185943,	-2.48627,	-0.0834512,	0.754736,	0.648061,	-0.0585381,	-0.789472,	2.08889,	0.5291,	-0.00482219,	0.0666917,	-0.77095,	-0.12024,	-0.00839537,	-0.00917921,	0.992667
