time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VO_uncalibrated], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw 
1520788372880593471,	-0.90512,	2.22113,	-0.0551862,	1.60574,	-1.905,	-20.4121,	-0.0484872,	-0.00618461,	-0.0464876,	0.997722,	-0.920729,	2.23982,	0.148887,	0.0448922,	-0.0363022,	-0.00477196,	-0.00400344,	0.715449,	0.698652,	0.00130744,	-0.825077,	2.16198,	-0.13494,	-0.00112513,	-0.000747145,	-0.0386966,	-0.0494222,	-0.006787,	-0.0734397,	0.996051
1520788372887874413,	-0.90512,	2.22113,	-0.0551862,	2.22978,	-2.66956,	-29.1534,	-0.0484872,	-0.00618461,	-0.0464876,	0.997722,	-0.920729,	2.23982,	0.148887,	0,	0,	0,	-0.00400344,	0.715449,	0.698652,	0.00130744,	-0.825054,	2.162,	-0.134905,	0.00338078,	0.00319145,	0.00513395,	-0.0492122,	-0.00676885,	-0.0733976,	0.996065
1520788372897931234,	-0.90512,	2.22113,	-0.0551862,	1.56084,	-1.8687,	-20.4074,	-0.0484872,	-0.00618461,	-0.0464876,	0.997722,	-0.920729,	2.23982,	0.148887,	0,	0,	0,	-0.00400344,	0.715449,	0.698652,	0.00130744,	-0.825054,	2.162,	-0.134905,	0,	0,	0,	-0.0492122,	-0.00676885,	-0.0733976,	0.996065
1520788372906859629,	-0.90512,	2.22113,	-0.0551862,	1.95106,	-2.33587,	-25.5092,	-0.0484872,	-0.00618461,	-0.0464876,	0.997722,	-0.920729,	2.23982,	0.148887,	0,	0,	0,	-0.00400344,	0.715449,	0.698652,	0.00130744,	-0.825054,	2.162,	-0.134905,	0,	0,	0,	-0.0492122,	-0.00676885,	-0.0733976,	0.996065
1520788372916755369,	-0.90512,	2.22113,	-0.0551862,	1.73427,	-2.07633,	-22.6748,	-0.0484872,	-0.00618461,	-0.0464876,	0.997722,	-0.920729,	2.23982,	0.148887,	0,	0,	0,	-0.00400344,	0.715449,	0.698652,	0.00130744,	-0.825054,	2.162,	-0.134905,	0,	0,	0,	-0.0492122,	-0.00676885,	-0.0733976,	0.996065
1520788372925677332,	-0.904548,	2.22169,	-0.0552335,	2.02267,	-2.2662,	-25.5151,	-0.0495266,	-0.00583012,	-0.0455801,	0.997715,	-0.920547,	2.24029,	0.148615,	0.0227195,	0.0581383,	-0.0339944,	-0.00386817,	0.716059,	0.698027,	0.00145075,	-0.824715,	2.16257,	-0.135117,	0.0423405,	0.0709078,	-0.0265608,	-0.0496725,	-0.00711141,	-0.0731606,	0.996057
1520788372936263841,	-0.904547,	2.22169,	-0.0552331,	1.60002,	-1.85934,	-20.3849,	-0.0495245,	-0.00583084,	-0.0455955,	0.997715,	-0.920547,	2.24029,	0.148615,	0,	0,	0,	-0.00386817,	0.716059,	0.698027,	0.00145075,	-0.824684,	2.16256,	-0.135098,	0.00311237,	-0.000299312,	0.00189539,	-0.0500035,	-0.00721622,	-0.0727787,	0.996068
1520788372946445633,	-0.904547,	2.22169,	-0.0552331,	1.60002,	-1.85934,	-20.3849,	-0.0495245,	-0.00583084,	-0.0455955,	0.997715,	-0.920547,	2.24029,	0.148615,	0,	0,	0,	-0.00386817,	0.716059,	0.698027,	0.00145075,	-0.824684,	2.16256,	-0.135098,	0,	0,	0,	-0.0500035,	-0.00721622,	-0.0727787,	0.996068
1520788372956070366,	-0.904547,	2.22169,	-0.0552331,	1.7778,	-2.06594,	-22.6498,	-0.0495245,	-0.00583084,	-0.0455955,	0.997715,	-0.920547,	2.24029,	0.148615,	0,	0,	0,	-0.00386817,	0.716059,	0.698027,	0.00145075,	-0.824684,	2.16256,	-0.135098,	0,	0,	0,	-0.0500035,	-0.00721622,	-0.0727787,	0.996068
1520788372964556866,	-0.904547,	2.22169,	-0.0552331,	2.00002,	-2.32418,	-25.4811,	-0.0495245,	-0.00583084,	-0.0455955,	0.997715,	-0.920547,	2.24029,	0.148615,	0,	0,	0,	-0.00386817,	0.716059,	0.698027,	0.00145075,	-0.824684,	2.16256,	-0.135098,	0,	0,	0,	-0.0500035,	-0.00721622,	-0.0727787,	0.996068
1520788372974992146,	-0.904447,	2.22213,	-0.0554212,	1.60997,	-1.81587,	-20.4037,	-0.0498225,	-0.0062105,	-0.0455915,	0.997698,	-0.920471,	2.2418,	0.148455,	0.00760696,	0.150847,	-0.0160187,	-0.00436447,	0.717563,	0.69648,	0.00103733,	-0.824501,	2.16298,	-0.135257,	0.0182676,	0.0421589,	-0.0158779,	-0.0504555,	-0.00715906,	-0.0725595,	0.996061
