time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VO_uncalibrated], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw 
1520788160141166957,	-0.828385,	2.28975,	-0.096784,	0.189359,	-0.0601316,	-1.68328,	-0.0310132,	-0.0118868,	-0.00415387,	0.99944,	-0.854668,	2.28884,	0.118783,	-0.0159843,	-0.0672245,	0.000837612,	-0.0352522,	0.693283,	0.719517,	-0.0202999,	-0.745602,	2.2302,	-0.179109,	-0.027681,	-0.0497399,	-0.0205384,	-0.0271858,	-0.0115408,	-0.0293834,	0.999132
1520788160261836014,	-0.8316,	2.27729,	-0.0967164,	0.19224,	-0.0962656,	-1.79583,	-0.0311062,	-0.0108498,	-0.0093453,	0.999414,	-0.860755,	2.26992,	0.12005,	-0.0507194,	-0.157694,	0.0105589,	-0.0304985,	0.693972,	0.719247,	-0.0125029,	-0.748218,	2.22333,	-0.178004,	-0.0217973,	-0.057205,	0.00920467,	-0.0279253,	-0.0125851,	-0.0326634,	0.998997
1520788160387624311,	-0.835479,	2.26382,	-0.0951517,	0.202205,	-0.0487733,	-1.72161,	-0.0317333,	-0.0129882,	-0.0162683,	0.99928,	-0.863575,	2.25614,	0.119974,	-0.0225629,	-0.110204,	-0.000603131,	-0.0293318,	0.694026,	0.719248,	-0.0122504,	-0.751667,	2.21148,	-0.177568,	-0.0275901,	-0.0948137,	0.00348824,	-0.0287542,	-0.0115587,	-0.0385502,	0.998776
1520788160499685423,	-0.839768,	2.24581,	-0.0951644,	0.212563,	-0.0922385,	-1.92088,	-0.0305653,	-0.0117134,	-0.0184015,	0.999295,	-0.86436,	2.23932,	0.120119,	-0.00700307,	-0.150177,	0.00128721,	-0.0238269,	0.698861,	0.714731,	-0.0136522,	-0.755849,	2.19891,	-0.175509,	-0.0373444,	-0.112222,	0.0183833,	-0.0294063,	-0.0140056,	-0.0457051,	0.998424
1520788160615111657,	-0.842739,	2.22948,	-0.0943581,	0.188004,	-0.0855518,	-1.86502,	-0.0366844,	-0.00793328,	-0.0193773,	0.999108,	-0.865348,	2.22561,	0.120437,	-0.00859367,	-0.119226,	0.00276745,	-0.0206384,	0.700902,	0.71281,	-0.014572,	-0.760525,	2.18195,	-0.174889,	-0.0406595,	-0.147546,	0.00539355,	-0.0280301,	-0.0128304,	-0.0479224,	0.998375
1520788160725463012,	-0.844241,	2.21335,	-0.0950723,	0.19188,	-0.111428,	-1.95918,	-0.0402078,	-0.00385005,	-0.0215441,	0.998952,	-0.86603,	2.209,	0.121339,	-0.00620493,	-0.151007,	0.00819927,	-0.0184099,	0.701478,	0.712323,	-0.0136479,	-0.763847,	2.1665,	-0.173561,	-0.0302007,	-0.140447,	0.0120754,	-0.0355804,	-0.00889626,	-0.0489527,	0.998128
1520788160842438599,	-0.84522,	2.19622,	-0.0934611,	0.179399,	-0.11017,	-1.85172,	-0.0398835,	-0.00385167,	-0.0236848,	0.998916,	-0.866229,	2.19253,	0.123799,	-0.00171583,	-0.141953,	0.0212117,	-0.0180537,	0.70228,	0.711535,	-0.0139688,	-0.765768,	2.15115,	-0.173536,	-0.0165547,	-0.132278,	0.000211573,	-0.0379035,	-0.00497307,	-0.0515355,	0.997939
1520788160968666799,	-0.84706,	2.17631,	-0.0904207,	0.152141,	-0.128711,	-1.70016,	-0.0442323,	-0.00217099,	-0.0214853,	0.998788,	-0.866062,	2.17268,	0.125727,	0.0013244,	-0.157521,	0.0152955,	-0.0169936,	0.708107,	0.705625,	-0.0197316,	-0.767177,	2.1349,	-0.171453,	-0.0111838,	-0.12899,	0.0165303,	-0.0394196,	-0.00491744,	-0.0534487,	0.99778
1520788161093955617,	-0.848189,	2.15614,	-0.0882305,	0.142985,	-0.132341,	-1.71166,	-0.0494992,	0.00116248,	-0.0185684,	0.998601,	-0.86671,	2.15836,	0.12591,	-0.0051778,	-0.114598,	0.0014696,	-0.0171212,	0.709862,	0.703735,	-0.0236509,	-0.769496,	2.116,	-0.167789,	-0.0185566,	-0.151196,	0.0293115,	-0.0445312,	-0.00304988,	-0.0511124,	0.997695
1520788161222808679,	-0.849511,	2.13873,	-0.0877176,	0.134368,	-0.153384,	-1.66897,	-0.0514206,	0.00371566,	-0.0163342,	0.998537,	-0.871649,	2.1342,	0.126837,	-0.0385849,	-0.188751,	0.00724208,	-0.0174515,	0.709028,	0.704502,	-0.0255301,	-0.771104,	2.09675,	-0.16498,	-0.0125615,	-0.150358,	0.0219452,	-0.0507762,	0.000541882,	-0.0479591,	0.997558
1520788161323293838,	-0.854058,	2.11803,	-0.0873856,	0.175901,	-0.161674,	-2.14223,	-0.0507389,	0.0038534,	-0.0155657,	0.998583,	-0.876338,	2.11692,	0.127039,	-0.0468977,	-0.172839,	0.00201908,	-0.0194475,	0.70752,	0.705924,	-0.0266063,	-0.772851,	2.08018,	-0.163856,	-0.0174725,	-0.165715,	0.011244,	-0.0530137,	0.00318651,	-0.0456264,	0.997546
1520788161434502255,	-0.858369,	2.10188,	-0.0874645,	0.161884,	-0.1355,	-1.93247,	-0.0485848,	0.00362176,	-0.013017,	0.998728,	-0.880196,	2.10042,	0.126539,	-0.0347564,	-0.148627,	-0.00451063,	-0.020836,	0.706522,	0.706821,	-0.0282227,	-0.777821,	2.06076,	-0.162735,	-0.0447712,	-0.175014,	0.010098,	-0.0520959,	0.00323919,	-0.0444331,	0.997648
1520788161549570789,	-0.863649,	2.08193,	-0.0880679,	0.143888,	-0.160756,	-1.86614,	-0.0468173,	0.00412731,	-0.00955622,	0.998849,	-0.884784,	2.07507,	0.125144,	-0.0398947,	-0.22041,	-0.012123,	-0.0225627,	0.703232,	0.70988,	-0.0320431,	-0.782496,	2.0454,	-0.162314,	-0.0406496,	-0.133522,	0.00365824,	-0.0495462,	0.00310612,	-0.0421228,	0.997878
1520788161668823696,	-0.866363,	2.06515,	-0.0896041,	0.154801,	-0.0833637,	-1.80461,	-0.0436219,	0.00494523,	-0.00804343,	0.999003,	-0.887824,	2.06126,	0.124149,	-0.0255487,	-0.11602,	-0.00836148,	-0.0229256,	0.70287,	0.710171,	-0.0332545,	-0.788192,	2.02659,	-0.1622,	-0.0478692,	-0.158047,	0.000958553,	-0.0470881,	0.00364265,	-0.0385358,	0.99814
1520788161778573321,	-0.871058,	2.04797,	-0.0907235,	0.153823,	-0.121963,	-1.97131,	-0.0425379,	0.00531194,	-0.00547612,	0.999066,	-0.890855,	2.04812,	0.123399,	-0.0278031,	-0.120613,	-0.00688598,	-0.0242063,	0.70149,	0.711461,	-0.0338991,	-0.791291,	2.01066,	-0.163098,	-0.0284322,	-0.146145,	-0.00823801,	-0.0434145,	0.00441044,	-0.036918,	0.998365
1520788161887790185,	-0.873434,	2.03596,	-0.0924548,	0.15983,	-0.111545,	-1.98031,	-0.0413556,	0.00445148,	-0.00425135,	0.999126,	-0.893563,	2.0376,	0.123251,	-0.0248446,	-0.0964906,	-0.00135562,	-0.0245057,	0.701881,	0.71114,	-0.032296,	-0.796297,	1.99454,	-0.163561,	-0.0459206,	-0.147901,	-0.0042501,	-0.0420517,	0.00476709,	-0.0339414,	0.998527
1520788161991005130,	-0.875188,	2.02556,	-0.092189,	0.178395,	-0.116871,	-2.09165,	-0.0413848,	0.00405565,	-0.00693431,	0.999111,	-0.896511,	2.02867,	0.124554,	-0.0286252,	-0.0866677,	0.0126505,	-0.0244011,	0.702358,	0.710815,	-0.0289746,	-0.799057,	1.98319,	-0.164871,	-0.0267974,	-0.110214,	-0.0127189,	-0.0407165,	0.00384837,	-0.0334907,	0.998602
