time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VO_uncalibrated], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw 
1520804470103320586,	-0.828913,	2.25805,	-0.202552,	-0.50421,	-0.737955,	-1.73957,	-0.0829104,	0.157513,	-0.00548712,	0.984015,	-0.769677,	2.34071,	-0.016676,	0.0493976,	0.0345893,	-0.00241091,	0.0917283,	0.715593,	0.674873,	-0.155109,	-0.750264,	2.1895,	-0.27824,	0.0127384,	0.0282885,	-0.0655345,	-0.0609267,	0.132955,	-0.0355306,	0.988609
1520804470218015344,	-0.829909,	2.25948,	-0.199702,	-0.528349,	-0.712523,	-1.60549,	-0.0823091,	0.173458,	-0.00439116,	0.981386,	-0.76382,	2.34844,	-0.0156149,	0.0513829,	0.0677572,	0.00930793,	0.104534,	0.717791,	0.666716,	-0.171287,	-0.749291,	2.19189,	-0.280027,	0.00853481,	0.0209967,	-0.015679,	-0.0776107,	0.156348,	-0.0347598,	0.984034
1520804470321215535,	-0.830997,	2.2628,	-0.195218,	-0.652206,	-0.831409,	-1.74372,	-0.0944494,	0.189113,	-0.00310663,	0.977398,	-0.759004,	2.35048,	-0.0136583,	0.0467491,	0.0198207,	0.0189958,	0.114239,	0.715554,	0.664342,	-0.183254,	-0.75015,	2.19318,	-0.2773,	-0.00833741,	0.0125172,	0.0264764,	-0.0761695,	0.172422,	-0.0326482,	0.981531
1520804470437236822,	-0.832391,	2.26415,	-0.190133,	-0.632645,	-0.744197,	-1.52134,	-0.0966437,	0.203996,	-0.00082815,	0.974189,	-0.753961,	2.35574,	-0.0129083,	0.0434795,	0.0453468,	0.00646515,	0.124702,	0.715301,	0.658682,	-0.197313,	-0.751121,	2.19645,	-0.273052,	-0.0083712,	0.0281888,	0.0366243,	-0.0909412,	0.18839,	-0.031039,	0.977382
1520804470549700241,	-0.833958,	2.26736,	-0.184618,	-0.714256,	-0.789082,	-1.53312,	-0.089987,	0.22493,	0.00537218,	0.970196,	-0.747899,	2.35922,	-0.0121182,	0.0541193,	0.031139,	0.00705446,	0.135349,	0.713261,	0.654464,	-0.211224,	-0.752435,	2.19784,	-0.268169,	-0.011738,	0.0123758,	0.0435938,	-0.0932783,	0.203422,	-0.0283001,	0.974227
1520804470668886988,	-0.834139,	2.27004,	-0.179495,	-0.724701,	-0.749421,	-1.40652,	-0.0922303,	0.244523,	0.0084574,	0.96521,	-0.735928,	2.35906,	-0.0154466,	0.100601,	-0.00140546,	-0.0279696,	0.156095,	0.705298,	0.650874,	-0.233563,	-0.753781,	2.20093,	-0.263082,	-0.0113084,	0.0259545,	0.0427488,	-0.0858311,	0.224466,	-0.0211574,	0.970464
1520804470788581552,	-0.833819,	2.26991,	-0.176851,	-0.822612,	-0.749102,	-1.35634,	-0.0884752,	0.269768,	0.0100211,	0.9588,	-0.727952,	2.36023,	-0.020626,	0.067026,	0.00988354,	-0.0435238,	0.1689,	0.70125,	0.646382,	-0.24882,	-0.753881,	2.20353,	-0.258215,	-0.000837072,	0.0218521,	0.0409004,	-0.0876451,	0.244202,	-0.0179549,	0.965589
1520804470910729815,	-0.832769,	2.27042,	-0.176827,	-0.859156,	-0.736159,	-1.28034,	-0.0960326,	0.29267,	0.00950359,	0.951331,	-0.720294,	2.35919,	-0.0261053,	0.0627693,	-0.00852061,	-0.0449128,	0.180334,	0.695326,	0.644587,	-0.26174,	-0.753552,	2.2034,	-0.255657,	0.00269792,	-0.00101941,	0.0209676,	-0.0826293,	0.269491,	-0.0152635,	0.95933
1520804471009348568,	-0.831316,	2.26901,	-0.178926,	-1.13288,	-0.920259,	-1.55939,	-0.0881671,	0.314909,	0.0141997,	0.944911,	-0.712872,	2.35747,	-0.0339217,	0.0757309,	-0.0175795,	-0.079759,	0.193556,	0.688672,	0.64176,	-0.276424,	-0.752505,	2.20387,	-0.255635,	0.0106824,	0.00475122,	0.000227739,	-0.0917451,	0.292545,	-0.0154663,	0.951715
1520804471108346546,	-0.830756,	2.26805,	-0.181999,	-1.2029,	-0.912473,	-1.51099,	-0.0879674,	0.334883,	0.0165873,	0.937998,	-0.705175,	2.3571,	-0.0429894,	0.0785407,	-0.00374072,	-0.0925269,	0.206911,	0.683774,	0.636922,	-0.289778,	-0.751159,	2.20249,	-0.257547,	0.0137356,	-0.0140325,	-0.0195124,	-0.0789525,	0.314767,	-0.0101782,	0.945825
1520804471223436964,	-0.829392,	2.26726,	-0.185078,	-1.08014,	-0.781256,	-1.23555,	-0.0886892,	0.350861,	0.0141036,	0.932111,	-0.696205,	2.35795,	-0.0557887,	0.0779997,	0.00737871,	-0.111299,	0.224504,	0.677669,	0.630002,	-0.305712,	-0.750624,	2.20155,	-0.260497,	0.00464718,	-0.0082297,	-0.0256515,	-0.0780393,	0.334848,	-0.00705064,	0.939008
1520804471327642654,	-0.828657,	2.26709,	-0.189029,	-1.27357,	-0.873678,	-1.28116,	-0.0871962,	0.368026,	0.0153317,	0.925591,	-0.689462,	2.35826,	-0.0641961,	0.0648448,	0.00295911,	-0.0808399,	0.235187,	0.674239,	0.624257,	-0.316847,	-0.749301,	2.20063,	-0.263396,	0.0127229,	-0.00881298,	-0.0278729,	-0.0767152,	0.350854,	-0.0085821,	0.933243
